,A0,A1,ca,cb,sa,sb,tau0,t0,tsep,id,fac_A0,fac_A1
0,-150.56762633738822,-85.92346711057624,0.8054224,0.9745611,0.850653238771787,0.950610127863440,650,1137.8473516666597,648,4,0.9954126885113618,1.0036309147965663
1,-150.61715823344485,-85.43302200129028,0.8108872,0.9726896,0.853814274163969,0.949254082996130,792,1386.8062483333206,790,3,0.9957401472023178,0.9979022600967191
2,-151.98068435597298,-85.90710541802973,0.8124987,0.9724247,0.854865138359707,0.949165630446857,820,1435.896734999986,818,5,1.0047545099607493,1.0034398016931234
3,-151.117624495433,-85.6513335663359,0.8109990,0.9727631,0.853923319156786,0.949344356601195,787,1378.0400899999875,785,0,0.9990487632672252,1.0004522530509772
4,-151.43351919018812,-85.44482830795181,0.8148522,0.9714470,0.856173613626682,0.948427813986580,903,1581.4149633333159,901,2,1.001137164306955,0.9980401639168691
5,-150.95804441784546,-85.4521524304208,0.8123777,0.9722358,0.854704535653547,0.948954136723522,832,1456.9355149999856,830,1,0.9979937686583022,0.998125713487677
6,-151.08857170719634,-85.63514518571387,0.8110306,0.9727454,0.853939014442398,0.949329422581071,789,1381.5465533333206,787,6,0.9988566933332633,1.0002631643212143
7,-151.126369254797,-85.92797010689843,0.8080760,0.9737834,0.852236346358955,0.950082974029188,708,1239.534788333324,706,8,0.9991065754586015,1.0036835121424386
8,-151.40570976314956,-85.39881076096785,0.8152254,0.9713033,0.856386169017426,0.948323842528054,916,1604.2069749999819,914,7,1.0009533143173672,0.9975026549646666
9,-150.7946074849037,-85.76202353366371,0.8082222,0.9736599,0.852291438011256,0.949968639772095,715,1251.8074099999903,713,10,0.9969132761196403,1.0017451696068822
10,-151.0816410674418,-85.95709910283726,0.8075506,0.9739535,0.851928816630293,0.950203480037359,697,1220.2492399999912,695,11,0.9988108744084454,1.0040237540091173
11,-151.30799119196215,-85.93587540970691,0.8088768,0.9735477,0.852714975417429,0.949925144302086,726,1271.0929583333234,724,12,1.000307290281329,1.003775850202764
12,-151.20831111039587,-85.2955603266151,0.8153786,0.9712009,0.856456848028244,0.948236390081397,924,1618.232828333315,922,9,0.9996482985684586,0.9962966360344804
13,-150.84405293163414,-85.54057349039867,0.8108449,0.9727559,0.853810070298174,0.949318731532993,787,1378.0400899999875,785,13,0.9972401632882956,0.9991585175899447
14,-151.88497378311536,-85.56687909770257,0.8157778,0.9712107,0.856747157663129,0.948294266424435,927,1623.4925233333147,925,14,1.004121760936509,0.9994657808046461
15,-150.59448116596005,-85.48164494373937,0.8102472,0.9729103,0.853442924332919,0.949411317246935,771,1349.9883833333213,769,15,0.9955902275863837,0.9984702014269669
16,-150.9861327255185,-85.84164991217838,0.8083095,0.9736722,0.852358854624944,0.949991753732112,715,1251.8074099999903,713,18,0.9981794623464919,1.0026752472422245
17,-151.75918122579813,-85.78563521316029,0.8127233,0.9722941,0.854975110210249,0.949055698177484,832,1456.9355149999856,830,16,1.0032901378929653,1.0020209663396018
18,-151.86925089585532,-85.25847975796273,0.8192009,0.9699193,0.858716911539145,0.947384843472568,1069,1872.4514199999755,1067,17,1.0040178158730224,0.9958635156508504
19,-151.27510893018953,-85.1951539762298,0.8168538,0.9706676,0.857312532879682,0.947864868924030,974,1705.8944116666462,972,19,1.0000899034406674,0.99512383748855
20,-151.08122814235617,-85.92294205300233,0.8079098,0.9738305,0.852136353648682,0.950113876450991,704,1232.5218616666575,702,20,0.9988081445329758,1.0036247818502253
21,-151.83114685997546,-85.73667643185007,0.8136203,0.9719874,0.855498800621327,0.948841958780886,861,1507.7792333333175,859,22,1.0037659075330894,1.0014491022362775
22,-151.14258452357487,-85.1947547772269,0.8161783,0.9708888,0.856911621925021,0.948010851266758,951,1665.5700833333137,949,21,0.9992137756893666,0.995119174635968
23,-151.793633655653,-85.33411268996807,0.8179420,0.9703803,0.857985483531773,0.947702048230681,1011,1770.7639833333112,1009,23,1.0035179052202574,0.9967469477479232
24,-151.03075399838698,-85.56406301156187,0.8115165,0.9725600,0.854214222889145,0.949191897802818,806,1411.3514916666531,804,24,0.998474456577797,0.9994328874496109
25,-151.0689184270437,-85.88416004808555,0.8082613,0.9737071,0.852338285181446,0.950023239442161,713,1248.3009466666572,711,27,0.9987267641784333,1.0031717878035327
26,-151.60677252740436,-85.46939691401309,0.8154565,0.9712648,0.856537255067358,0.948311675585643,920,1611.2199016666484,918,25,1.002282553753459,0.9983271380510113
27,-152.00200957414046,-85.38872663762139,0.8183936,0.9702585,0.858264085202444,0.947632338472140,1024,1793.5559949999774,1022,26,1.0048954924100684,0.9973848671439529
28,-151.53202941810642,-85.40149563294796,0.8158379,0.9711064,0.856750352018137,0.948193943892079,934,1635.7651449999812,932,28,1.0017884220388018,0.997534015669863
29,-151.88529355765414,-86.00881637208349,0.8109246,0.9729616,0.853948331528088,0.949544235962756,772,1351.741614999988,770,29,1.0041238749874581,1.004627838690402
30,-151.52914043406582,-85.81679955446725,0.8112422,0.9727698,0.854100159914594,0.949379743946792,789,1381.5465533333206,787,30,1.0017693227713107,1.0023849821018462
31,-150.9757487291476,-85.3846673447911,0.8132096,0.9719401,0.855185876916171,0.948744198816000,861,1507.7792333333175,859,32,0.9981108130491863,0.9973374524863082
32,-150.61952815295308,-85.5148619780596,0.8100119,0.9729987,0.853309349637979,0.949476876091870,764,1337.715761666655,762,33,0.9957558148993295,0.998858193714321
33,-150.86160722321296,-85.94367772155911,0.8066271,0.9742193,0.851375692769442,0.950381336064912,679,1188.691069999992,677,34,0.9973562158887147,1.0038669852749984
34,-150.61790010986937,-85.37483025998897,0.8115253,0.9724631,0.854182528515810,0.949091447377579,812,1421.870881666653,810,31,0.9957450517971782,0.997222550204651
35,-150.7006659543976,-85.54161658292232,0.8101238,0.9729776,0.853381161157836,0.949467761375841,766,1341.2222249999882,764,35,0.9962922223531792,0.9991707014547133
36,-151.6386656019448,-85.72479783937852,0.8127884,0.9722434,0.855001983636992,0.949010432411029,836,1463.948441666652,834,36,1.0024934010109037,1.0013103540801611
37,-150.82125229201924,-85.61630404161542,0.8099131,0.9730786,0.853270254440081,0.949549622787676,759,1328.9496033333219,757,38,0.9970894267287114,1.0000430899303265
