,count,mean,std,min,25%,50%,75%,max,cv
A0,1000.0,-151.2869690568469,0.4326353236596105,-152.01738642682483,-151.66761619996623,-151.28427529842804,-150.91292990802748,-150.50658458667223,-0.002859699856218584
A1,1000.0,-85.60214078442566,0.24774039195750883,-86.0403263841326,-85.81260663276012,-85.59624151781706,-85.38854248401316,-85.18539436426845,-0.002894091078649547
tau0,1000.0,1200.786,161.41866741548262,873.0,1091.0,1193.0,1308.0,1617.0,0.13442750616303206
t0,1000.0,2104.8877192982586,283.1906445885501,1529.8245614035327,1912.2807017544133,2091.228070175454,2292.982456140353,2835.087719298212,0.13453954906581053
tsep,1000.0,1198.786,161.41866741548262,871.0,1089.0,1191.0,1306.0,1615.0,0.13465177889588517
fac_A0,1000.0,1.000168311534421,0.0028601811766893665,0.9950091373983524,0.9976955136044028,1.0001505029166249,1.0026847953584903,1.0049971498157386,0.0028596998562185824
fac_A1,1000.0,0.9998776556985866,0.0028937370030983007,0.9950098401300841,0.9973827161337516,0.999808749187454,1.0023360065892173,1.0049958920672215,0.002894091078649545
