,count,mean,std,min,25%,50%,75%,max,cv
A0,2000.0,-151.27423952842346,0.3061077700005346,-152.01738642682483,-151.28397407392532,-151.26151,-151.26151,-150.50658458667223,-0.002023528731360893
A1,2000.0,-85.60737789221282,0.17521341392973128,-86.0403263841326,-85.612615,-85.612615,-85.59628951754573,-85.18539436426845,-0.0020467092702026253
tau0,2000.0,1190.902,106.36430359166214,975.0,1113.0,1182.0,1278.0,1419.0,0.08931406916073878
t0,2000.0,2087.547368421068,186.6040413888691,1708.7719298245936,1950.877192982481,2071.9298245614204,2240.3508771929883,2487.7192982456036,0.08938912918177683
tsep,2000.0,1188.902,106.36430359166214,973.0,1111.0,1180.0,1276.0,1417.0,0.08946431547062932
fac_A0,2000.0,1.0000841557672104,0.002023699022973752,0.9950091373983524,1.0,1.0,1.0001485115012096,1.0049971498157386,0.002023528731360892
fac_A1,2000.0,0.9999388278492933,0.002046584068594694,0.9950098401300841,0.9998093098493223,1.0,1.0,1.0049958920672215,0.0020467092702026236
